V1	V2	V3
chr5	151057617	151057873
chr11	103802000	103802250
chr12	6149418	6149668
chr3	84244177	84244441
chr6	122894845	122895095
chr6	96114692	96114956
chr5	102073754	102074014
chr11	51896576	51896748
chr17	49063513	49063777
chr4	148055607	148055807
chr12	111678397	111678661
chr2	30313765	30314029
chr5	72701144	72701394
chr19	6827983	6828242
chr5	130090446	130090710
chr15	53746144	53746394
chr7	99945140	99945390
chr17	33918730	33918980
chr12	5164904	5165168
chr11	46132754	46133004
chr7	81465185	81465435
chr5	115934662	115934912
chr17	56902028	56902278
chr11	61663685	61663935
chr11	3725349	3725599
chr7	80510539	80510792
chr14	117811478	117811728
chr15	79036708	79036972
chr7	127818448	127818712
chr11	102193849	102194099
chr5	114925323	114925573
chr1	168344408	168344672
chr10	111392270	111392534
chr4	131838534	131838784
chr13	16975606	16975856
chr4	43982153	43982417
chr18	32416323	32416587
chr9	41056542	41056806
chr15	101533932	101534182
chr12	112514918	112515168
chr16	95996936	95997198
chr4	141422185	141422435
chr5	72696644	72696894
chr1	13565251	13565501
chr15	73533459	73533709
chr1	62903752	62904010
chr13	42770071	42770321
chr18	61638490	61638752
chr5	76815517	76815771
chr5	53137363	53137627
chr9	114648928	114649182
chr5	113586974	113587175
chr6	120156969	120157219
chr16	25678158	25678408
chr6	138549493	138549757
chr16	56475483	56475742
chr11	79809480	79809744
chr4	140258915	140259165
chr1	89195864	89196121
chr11	59340450	59340700
chr9	113486465	113486729
chr4	138879951	138880208
chr12	17054990	17055254
chr3	129639423	129639687
chr4	130138931	130139181
chr11	4479592	4479856
chr7	97721451	97721701
chr2	181122347	181122555
chr2	170536983	170537233
chr8	31541555	31541809
chr15	81238351	81238601
chr15	100326440	100326752
chr10	58748784	58749048
chr10	127464856	127465120
chr6	108075360	108075624
chr7	44883404	44883668
chr18	47235625	47235875
chr5	124024582	124024836
chr5	136184397	136184647
chr4	32196908	32197172
chr8	70419295	70419545
chr6	77860769	77860933
chr5	142694671	142694935
chr17	5413567	5413817
chr3	107511001	107511260
chr13	12164291	12164541
chr17	25541805	25542055
chr8	11782215	11782479
chr8	107547098	107547360
chr8	111739200	111739450
chr1	177466341	177466605
chr15	37445817	37446081
chr2	60447504	60447754
chr14	58205232	58205482
chr19	17011589	17011839
chr16	4915985	4916235
chr7	83651215	83651465
chr5	113343219	113343469
chr18	60759323	60759573
chr9	121441596	121441846
chr13	102751475	102751736
chr2	138046107	138046357
chr7	27660122	27660386
chr7	122016904	122017154
chr8	84915507	84915762
chr2	117340211	117340461
chr16	10035915	10036165
chr4	57759989	57760253
chr12	83714588	83714838
chr16	34244232	34244482
chr4	130026139	130026389
chr7	5090650	5090914
chr3	59245736	59245986
chr11	103183720	103183970
chr6	136873571	136873821
chr17	47507182	47507432
chr14	27862987	27863237
chr1	39998712	39998962
chr3	69886032	69886282
chr19	45619306	45619556
chr10	19124482	19124746
chr14	16517366	16517630
chr7	3422954	3423208
chr17	50527298	50527548
chr5	112788394	112788644
chr11	116430373	116430637
chr19	58300312	58300562
chr3	101094862	101095126
chr17	14370259	14370523
chr6	121426729	121426986
chr11	118924183	118924447
chr5	124171154	124171404
chr10	39026239	39026503
chr2	35584808	35584924
chr2	136515114	136515364
chr6	31074995	31075259
chr11	120515874	120516124
chr4	49520367	49520617
chr8	120421983	120422245
chr6	121048124	121048388
chr2	164852506	164852770
chr5	142897135	142897385
chr5	22815757	22816021
chr8	94943103	94943353
chr4	129981252	129981502
chr11	105965118	105965382
chr9	48470950	48471214
chr10	80571942	80572013
chr4	129128513	129128763
chr7	81460685	81460935
chr3	64754034	64754284
chr2	58322326	58322489
chr2	145853180	145853430
chr1	192809060	192809310
chr12	111727931	111728184
chr4	152118324	152118588
chr2	168934076	168934340
chr10	84907612	84907683
chr12	109422965	109423137
chr19	46335259	46335523
chr13	48554512	48554765
chr17	47172463	47172717
chr18	47231125	47231375
chr8	95696992	95697256
chr14	10037534	10037784
chr3	101658032	101658296
chr15	74540549	74540799
chr7	139704539	139704803
chr18	65145831	65146095
chr12	99930672	99930936
chr16	27521628	27521846
chr1	75387116	75387380
chr12	28893701	28893965
chr17	13476677	13476932
chr9	61554711	61554975
chr12	25361558	25361808
chr7	37876789	37877053
chr14	67121128	67121392
chr14	26903317	26903581
chr12	13096827	13097091
chr11	67721534	67721798
chr13	54264283	54264547
chr15	38671911	38672168
chr5	102974993	102975257
chr19	24225859	24226112
chr1	173339374	173339632
chr6	135797761	135798011
chr12	118371113	118371363
chr2	157888966	157889230
chr3	8854357	8854621
chr3	108329570	108329830
chr10	80648246	80648496
chr5	122088881	122089131
chr19	59166869	59167119
chr8	125131567	125131830
chr15	43693304	43693567
chr17	29201749	29202001
chr15	76197535	76197799
chr4	11024117	11024381
chr11	116958538	116958789
chr9	110046737	110046987
chr9	54536375	54536625
chr19	45016642	45016906
chr6	114350521	114350785
chr10	80807903	80808153
chr14	86746560	86746824
chr15	52163849	52164113
chr9	118149863	118150113
chr1	35756871	35757060
chr5	47988500	47988764
chr7	45634892	45635142
chr11	79489359	79489617
chr10	40281971	40282235
chr9	121002979	121003233
chr11	113509991	113510255
chr11	65022342	65022592
chr18	77235047	77235311
chr11	115512435	115512685
chr5	124932386	124932640
chr10	80840235	80840485
chr2	91693358	91693622
chr15	85000069	85000319
chr8	13697047	13697311
chr12	107140098	107140360
chr8	13026176	13026426
chr4	134941581	134941845
chr15	77770407	77770657
chr1	13601577	13601841
chr4	137812010	137812260
chr19	45777816	45778080
chr7	24454382	24454632
chr3	98424524	98424774
chr11	113880879	113881143
chr16	18449656	18449916
chr6	120958454	120958706
chr15	25809812	25810062
chr2	33453138	33453402
chr5	99212186	99212450
chr11	117329402	117329666
chr1	131546289	131546551
chr7	46366574	46366824
chr2	123021765	123022015
chr10	17798324	17798588
chr12	53828663	53828920
chr2	11425763	11426013
chr17	49058985	49059249
chr4	133296885	133297135
chr1	34825160	34825424
chr14	103474536	103474786
chr7	25047409	25047659
chr5	120552972	120553236
chr14	99297873	99298123
chr1	119381878	119382029
chr11	34256671	34256924
chr19	38155753	38156017
chr17	27680101	27680351
chr6	127339329	127339588
chr18	38100522	38100786
chr1	47101037	47101287
chr7	75290197	75290447
chr12	92071046	92071296
chr7	82926689	82926953
chr4	47223860	47224110
chr8	25489171	25489364
chr3	8849829	8850093
chr4	4017623	4017873
chr2	170664626	170664882
chr7	143300702	143300964
chr9	121198875	121199125
chr5	115568893	115569143
chr1	133296614	133296864
chr7	107667847	107668097
chr11	4114413	4114669
chr17	84715895	84716159
chr5	149252330	149252582
chr4	150939654	150939904
chr11	121304453	121304703
chr9	75333155	75333308
chr1	74773415	74773665
chr4	138477434	138477698
chr4	136752368	136752632
chr2	102032578	102032842
chr3	57341723	57341987
chr9	49992241	49992491
chr13	36728078	36728342
chr6	113279173	113279437
chr12	111701852	111702116
chr14	79234147	79234403
chr11	79493875	79494133
chr2	7048915	7049165
chr13	51962558	51962822
chr7	115451222	115451486
chr2	49560509	49560759
chr11	114478046	114478296
chr18	25732734	25732984
chr13	53123229	53123487
chr11	79894539	79894803
chr15	38667397	38667654
chr11	74466873	74467137
chr17	47176971	47177225
chr2	168649354	168649604
chr5	131821981	131822245
chr5	110601207	110601457
chr10	5291601	5291851
chr12	72829718	72829968
chr6	72652893	72653017
chr13	46464638	46464900
chr5	101062182	101062446
chr4	70056673	70056923
chr4	128343591	128343855
chr11	120024230	120024485
chr9	46432518	46432770
chr1	89130412	89130676
chr13	51968103	51968367
chr9	63796100	63796364
chr12	6153918	6154168
chr18	86678619	86678869
chr11	74441478	74441728
chr1	87603173	87603437
chr2	131064121	131064371
chr11	50954607	50954857
chr7	49201638	49201816
chr18	61535934	61536184
chr4	118545571	118545821
chr2	170740764	170741026
chr2	131169254	131169504
chr2	60443004	60443254
chr13	46460114	46460376
chr17	73820259	73820509
chr11	84699823	84700087
chr15	27796994	27797244
chr16	56480001	56480260
chr9	96518036	96518157
chr2	102675160	102675424
chr15	25805312	25805562
chr2	8565284	8565546
chr4	41027234	41027498
chr7	123317739	123318003
chr4	106502446	106502710
chr4	49059300	49059555
chr7	134936346	134936610
chr15	76781487	76781737
chr11	105969646	105969910
chr13	97456943	97457193
chr18	66320920	66321184
chr2	119749833	119750097
chr16	96360200	96360464
chr4	140479100	140479528
chr7	116183997	116184261
chr2	132505339	132505603
chr7	112125717	112125967
chr9	44094148	44094412
chr5	36914094	36914358
chr4	138853229	138853493
chr19	10292316	10292474
chr7	98853227	98853491
chr12	103124312	103124576
chr12	28872856	28873106
chr10	80812403	80812653
chr3	5398430	5398694
chr10	70981979	70982229
chr4	87971110	87971360
chr5	106558015	106558279
chr4	138884465	138884722
chr2	152077792	152078042
chr7	143305226	143305488
chr7	16114327	16114577
chr9	122271749	122271999
chr10	69708652	69708902
chr9	66735646	66735910
chr4	133218482	133218739
chr12	108075226	108075476
chr2	173172027	173172277
chr1	79705848	79706098
chr1	133301114	133301364
chr2	132744366	132744630
chr5	112533800	112534063
chr4	137937718	137937982
chr7	122374393	122374643
chr5	147950827	147951077
chr5	127717304	127717554
chr3	85186409	85186564
chr12	74191172	74191422
chr12	71111709	71111959
chr1	21217373	21217637
chr2	126790301	126790551
chr2	155786916	155787180
chr13	54268811	54269075
chr11	52539158	52539408
chr16	94935082	94935332
chr6	146070743	146071006
chr11	118501808	118502072
chr4	153719588	153719838
chr6	39472426	39472683
chr9	16111893	16112114
chr15	36745159	36745409
chr2	30309237	30309501
chr4	138726107	138726357
chr13	92678529	92678779
chr2	165164846	165165096
chr11	6181581	6181831
chr2	154241282	154241532
chr5	114920823	114921073
chr11	73017054	73017318
chr9	49226879	49227136
chr7	99531758	99532022
chr5	128822201	128822451
chr10	127228082	127228332
chr14	24825467	24825674
chr18	30489505	30489769
chr15	37441289	37441553
chr19	6494564	6494660
chr11	48293248	48293506
chr7	132804673	132804931
chr2	112634895	112635159
